Trang|Mô tả trang|Key|Tiếng Anh (tham khảo)|Tiếng Việt hiện tại|Tiếng Việt mới (CHỈNH SỬA CỘT NÀY)
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.authSection.returningTitle|Returning Member|Thành viên cũ|Thành viên cũ
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.authSection.returningDesc|Already registered? Enter your email to sign in.|Đã đăng ký rồi? Nhập email để đăng nhập.|Đã đăng ký rồi? Nhập email để đăng nhập.
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.authSection.joinTitle|Join Community|Gia nhập cộng đồng|Gia nhập cộng đồng
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.authSection.joinDesc|New to ABG Connect? Start your application here.|Mới tham gia ABG Connect? Bắt đầu đăng ký tại đây.|Mới tham gia ABG Connect? Bắt đầu đăng ký tại đây.
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.publicSearch.title|Find a Connection|Tìm kết nối|Tìm kết nối
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.publicSearch.subtitle|Try our AI matching - no signup required|Thử tính năng ghép đôi AI - không cần đăng ký|Thử tính năng ghép đôi AI - không cần đăng ký
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.publicSearch.placeholder|e.g., I need a marketing expert for my startup...|VD: Tôi cần chuyên gia marketing cho startup...|VD: Tôi cần chuyên gia marketing cho startup...
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.publicSearch.searchButton|Search|Tìm|Tìm
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.publicSearch.signInToSee|Sign in to see full profiles|Đăng nhập để xem đầy đủ hồ sơ|Đăng nhập để xem đầy đủ hồ sơ
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.publicSearch.teaser|Sign in to unlock full profiles and connect directly|Đăng nhập để xem đầy đủ hồ sơ và kết nối trực tiếp|Đăng nhập để xem đầy đủ hồ sơ và kết nối trực tiếp
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.divider|OR|HOẶC|HOẶC
--- Đăng ký (Onboarding) ---|||||
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.title|Join ABG Alumni Connect|Gia nhập ABG Alumni Connect|Gia nhập ABG Alumni Connect
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.subtitle|Create your profile to connect with fellow members|Tạo hồ sơ để giao lưu với anh chị em khác|Tạo hồ sơ để giao lưu với anh chị em khác
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.fullName|Full Name|Tên tuổi đầy đủ|Tên tuổi đầy đủ
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.fullNamePlaceholder|John Doe|Nguyễn Văn A|Nguyễn Văn A
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.email|Email|Email|Email
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.emailPlaceholder|john@example.com|email@example.com|email@example.com
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.role|Current Role|Đang làm chức gì|Đang làm chức gì
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.rolePlaceholder|Product Manager|Product Manager|Product Manager
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.company|Company|Ở công ty nào|Ở công ty nào
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.companyPlaceholder|Acme Corp|Công ty ABC|Công ty ABC
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.expertise|Areas of Expertise|Món tủ của bạn (Chuyên môn)|Món tủ của bạn (Chuyên môn)
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.expertisePlaceholder|e.g., Product strategy, startup fundraising, SaaS metrics|VD: Rành về gọi vốn, trùm sales, chiến lược...|VD: Rành về gọi vốn, trùm sales, chiến lược...
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.canHelpWith|What can you help others with?|Bạn có thể giúp anh em việc gì?|Bạn có thể giúp anh em việc gì?
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.canHelpWithPlaceholder|e.g., Reviewing pitch decks, introductions to VCs, career advice|VD: Review pitch deck, kết nối nhà đầu tư, tư vấn nghề...|VD: Review pitch deck, kết nối nhà đầu tư, tư vấn nghề...
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.lookingFor|What are you looking for?|Bạn đang cần tìm gì?|Bạn đang cần tìm gì?
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.lookingForPlaceholder|e.g., Technical co-founders, enterprise sales connections, marketing advice|VD: Tìm Co-founder kỹ thuật, cần mối bán hàng B2B...|VD: Tìm Co-founder kỹ thuật, cần mối bán hàng B2B...
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.avatar|Click to upload photo (optional)|Bấm để up ảnh đại diện (tùy chọn)|Bấm để up ảnh đại diện (tùy chọn)
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.abgClass|ABG Class|Lớp ABG|Lớp ABG
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.abgClassPlaceholder|Select your ABG class|Chọn lớp ABG của bạn|Chọn lớp ABG của bạn
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.abgClassHelp|Choose your ABG class from the list|Chọn lớp ABG từ danh sách|Chọn lớp ABG từ danh sách
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.nicknameSection|Nickname (Optional)|Biệt danh (Tùy chọn)|Biệt danh (Tùy chọn)
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.nickname|Nickname|Biệt danh|Biệt danh
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.nicknamePlaceholder|e.g., Johnny|VD: Johnny|VD: Johnny
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.nicknameHelp|A friendly name others can call you|Tên thân mật để mọi người gọi bạn|Tên thân mật để mọi người gọi bạn
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.displayNicknameWhere|Show nickname instead of full name:|Hiển thị biệt danh thay vì tên đầy đủ:|Hiển thị biệt danh thay vì tên đầy đủ:
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.displayInSearch|In search results|Trong kết quả tìm kiếm|Trong kết quả tìm kiếm
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.displayInMatch|In match suggestions|Trong gợi ý ghép đôi|Trong gợi ý ghép đôi
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.displayInEmail|In introduction emails|Trong email giới thiệu|Trong email giới thiệu
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.openToWork|Open to new opportunities|Tôi đang tìm cơ hội mới (Open to work)|Tôi đang tìm cơ hội mới (Open to work)
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.jobPreferences|What kind of job are you looking for?|Bạn đang tìm công việc như nào?|Bạn đang tìm công việc như nào?
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.jobPreferencesPlaceholder|e.g., Senior Developer, Hybrid, Salary >$5000...|VD: Senior Developer, Hybrid, lương >$2000...|VD: Senior Developer, Hybrid, lương >$2000...
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.hiring|I am hiring|Tôi đang tuyển dụng (Hiring)|Tôi đang tuyển dụng (Hiring)
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.hiringPreferences|What kind of candidate are you looking for?|Bạn đang tìm ứng viên như nào?|Bạn đang tìm ứng viên như nào?
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.hiringPreferencesPlaceholder|e.g., Marketing Manager, 3yr exp, fluent English...|VD: Marketing Manager, kinh nghiệm 3 năm, tiếng Anh tốt...|VD: Marketing Manager, kinh nghiệm 3 năm, tiếng Anh tốt...
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.sectionCareer|Career Opportunities (Optional)|Cơ hội nghề nghiệp (Tùy chọn)|Cơ hội nghề nghiệp (Tùy chọn)
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.gender|Gender|Giới tính|Giới tính
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.genderFemale|Female|Nữ|Nữ
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.genderMale|Male|Nam|Nam
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.genderUndisclosed|Prefer not to say|Không tiết lộ|Không tiết lộ
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.relationshipStatus|Relationship Status|Tình trạng quan hệ|Tình trạng quan hệ
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.relationshipSingle|Single|Độc thân|Độc thân
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.relationshipAvailable|Single (Available)|Độc thân (Sẵn sàng hẹn hò)|Độc thân (Sẵn sàng hẹn hò)
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.relationshipInRelationship|In a Relationship|Đang yêu|Đang yêu
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.relationshipMarried|Married|Đã kết hôn|Đã kết hôn
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.relationshipPreferNotToSay|Prefer not to say|Không muốn chia sẻ|Không muốn chia sẻ
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.submit|Complete Profile|Hoàn tất hồ sơ|Hoàn tất hồ sơ
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.submitting|Creating your profile...|Đang lên hồ sơ...|Đang lên hồ sơ...
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.continueWithGoogle|Continue with Google|Tiếp tục với Google|Tiếp tục với Google
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.sendMagicLink|Send Magic Link|Gửi Magic Link|Gửi Magic Link
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.magicLinkSent|Magic link sent! Check your email and click the link to continue.|Magic link đã gửi! Kiểm tra email và nhấn link để tiếp tục.|Magic link đã gửi! Kiểm tra email và nhấn link để tiếp tục.
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.orDivider|or|hoặc|hoặc
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.emailGoogleNote|Your email will be automatically filled from your Google account|Email sẽ được tự động điền từ tài khoản Google của bạn|Email sẽ được tự động điền từ tài khoản Google của bạn
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.emailRequired|Enter your email to receive a magic link or sign in with Google|Nhập email để nhận magic link hoặc đăng nhập bằng Google|Nhập email để nhận magic link hoặc đăng nhập bằng Google
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.form.autoApproveNote|Note: If you use the email registered to your ABG class, you will be automatically approved. Otherwise, you need to wait for admin approval.|Lưu ý: Nếu bạn dùng email đã đăng ký lớp ABG, tài khoản sẽ được duyệt tự động. Nếu không, bạn cần chờ admin phê duyệt.|Lưu ý: Nếu bạn dùng email đã đăng ký lớp ABG, tài khoản sẽ được duyệt tự động. Nếu không, bạn cần chờ admin phê duyệt.
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.success.title|Welcome aboard!|Chào mừng người anh em!|Chào mừng người anh em!
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.success.checkEmail|Check your email for confirmation.|Check mail để xác nhận nhé.|Check mail để xác nhận nhé.
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.success.generatedBio|Your generated bio:|Bio xịn xò AI viết cho bạn:|Bio xịn xò AI viết cho bạn:
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.success.completePayment|Complete Payment|Thanh toán ngay|Thanh toán ngay
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.validation.nameRequired|Name required|Nhớ điền tên nha|Nhớ điền tên nha
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.validation.emailRequired|Valid email required|Email không chuẩn rồi|Email không chuẩn rồi
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.validation.roleRequired|Role required|Chưa điền chức danh nè|Chưa điền chức danh nè
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.validation.companyRequired|Company required|Quên điền công ty rồi|Quên điền công ty rồi
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.validation.expertiseMin|Describe your expertise (min 10 chars)|Kể thêm chút về món tủ đi (tối thiểu 10 ký tự)|Kể thêm chút về món tủ đi (tối thiểu 10 ký tự)
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.validation.canHelpMin|What can you help with? (min 10 chars)|Giúp được gì kể rõ tí nha (tối thiểu 10 ký tự)|Giúp được gì kể rõ tí nha (tối thiểu 10 ký tự)
Đăng ký (Onboarding)|Form đăng ký thành viên mới, điền hồ sơ|onboard.validation.lookingForMin|What are you looking for? (min 10 chars)|Tìm gì nói rõ xíu (tối thiểu 10 ký tự)|Tìm gì nói rõ xíu (tối thiểu 10 ký tự)
--- Tìm kết nối (Request) ---|||||
Tìm kết nối (Request)|Form gửi yêu cầu tìm người kết nối|request.title|Find a Connection|Kiếm người trợ giúp|Kiếm người trợ giúp
Tìm kết nối (Request)|Form gửi yêu cầu tìm người kết nối|request.subtitle|Describe what you need and we'll match you with the right people|Cần gì cứ hú, chúng tôi sẽ tìm người hợp cạ cho bạn|Cần gì cứ hú, chúng tôi sẽ tìm người hợp cạ cho bạn
Tìm kết nối (Request)|Form gửi yêu cầu tìm người kết nối|request.form.email|Your Email|Email của bạn|Email của bạn
Tìm kết nối (Request)|Form gửi yêu cầu tìm người kết nối|request.form.emailPlaceholder|your@email.com|email@example.com|email@example.com
Tìm kết nối (Request)|Form gửi yêu cầu tìm người kết nối|request.form.emailHelp|Must match your registered member email|Nhớ dùng email đã đăng ký nhé|Nhớ dùng email đã đăng ký nhé
Tìm kết nối (Request)|Form gửi yêu cầu tìm người kết nối|request.form.requestText|What do you need help with?|Đang bí ở đâu / Cần giúp gì?|Đang bí ở đâu / Cần giúp gì?
Tìm kết nối (Request)|Form gửi yêu cầu tìm người kết nối|request.form.requestTextPlaceholder|Be specific about what you're looking for. For example: 'I'm launching a B2B SaaS product and need advice on enterprise sales strategies and introductions to potential customers in the manufacturing sector.'|Mô tả kỹ kỹ chút. Ví dụ: 'Em đang làm cái web B2B mà bí phần kéo khách doanh nghiệp, bác nào rành mảng sản xuất chỉ giáo em với.'|Mô tả kỹ kỹ chút. Ví dụ: 'Em đang làm cái web B2B mà bí phần kéo khách doanh nghiệp, bác nào rành mảng sản xuất chỉ giáo em với.'
Tìm kết nối (Request)|Form gửi yêu cầu tìm người kết nối|request.form.submit|Find Connections|Tìm đồng đội|Tìm đồng đội
Tìm kết nối (Request)|Form gửi yêu cầu tìm người kết nối|request.form.submitting|Finding matches...|Đang rà soát...|Đang rà soát...
Tìm kết nối (Request)|Form gửi yêu cầu tìm người kết nối|request.validation.emailRequired|Valid email required|Email sai rồi|Email sai rồi
Tìm kết nối (Request)|Form gửi yêu cầu tìm người kết nối|request.validation.requestMin|Please describe your need in detail (min 20 chars)|Viết dài thêm tí nữa đi (tối thiểu 20 ký tự)|Viết dài thêm tí nữa đi (tối thiểu 20 ký tự)
Tìm kết nối (Request)|Form gửi yêu cầu tìm người kết nối|request.validation.limitReached|Free request limit reached. Please complete membership payment to continue.|Bạn đã sử dụng hết yêu cầu miễn phí. Vui lòng hoàn tất thanh toán thành viên để tiếp tục.|Bạn đã sử dụng hết yêu cầu miễn phí. Vui lòng hoàn tất thanh toán thành viên để tiếp tục.
Tìm kết nối (Request)|Form gửi yêu cầu tìm người kết nối|request.errors.limitReached|Free request limit reached. Please complete membership payment to continue.|Bạn đã sử dụng hết yêu cầu miễn phí. Vui lòng hoàn tất thanh toán thành viên để tiếp tục.|Bạn đã sử dụng hết yêu cầu miễn phí. Vui lòng hoàn tất thanh toán thành viên để tiếp tục.
Tìm kết nối (Request)|Form gửi yêu cầu tìm người kết nối|request.errors.rateLimitExceeded|You have made too many requests. Please try again later.|Bạn đã gửi quá nhiều yêu cầu. Vui lòng thử lại sau.|Bạn đã gửi quá nhiều yêu cầu. Vui lòng thử lại sau.
Tìm kết nối (Request)|Form gửi yêu cầu tìm người kết nối|request.errors.dailyLimitReached|Daily request limit reached. Premium members can make up to {limit} requests per day.|Đã đạt giới hạn yêu cầu hàng ngày. Thành viên Premium có thể thực hiện tối đa {limit} yêu cầu mỗi ngày.|Đã đạt giới hạn yêu cầu hàng ngày. Thành viên Premium có thể thực hiện tối đa {limit} yêu cầu mỗi ngày.
Tìm kết nối (Request)|Form gửi yêu cầu tìm người kết nối|request.errors.authRequired|Authentication required to make requests|Cần đăng nhập để thực hiện yêu cầu|Cần đăng nhập để thực hiện yêu cầu
--- Kết quả ghép đôi (Matches) ---|||||
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.title|We found {count} potential match|Tìm thấy {count} người hợp cạ|Tìm thấy {count} người hợp cạ
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.titlePlural|We found {count} potential matches|Tìm thấy {count} người hợp cạ|Tìm thấy {count} người hợp cạ
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.selectPrompt|Select someone to connect with|Chọn người muốn làm quen|Chọn người muốn làm quen
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.whyMatched|Why we matched you:|Tại sao lại hợp:|Tại sao lại hợp:
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.requestIntro|Request Introduction|Nhờ giới thiệu|Nhờ giới thiệu
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.sendLoveMatch|Send Love Match Request|Gửi yêu cầu ghép đôi|Gửi yêu cầu ghép đôi
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.sendingIntro|Sending introduction...|Đang bắn tin...|Đang bắn tin...
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.footerNote|Both you and your match will receive an email introduction|Cả bạn và người ấy sẽ nhận được email giới thiệu|Cả bạn và người ấy sẽ nhận được email giới thiệu
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.rerollNote|Rerolling counts against your request quota.|Mỗi lần tìm lại sẽ tính vào lượt sử dụng của bạn.|Mỗi lần tìm lại sẽ tính vào lượt sử dụng của bạn.
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.aiDisclaimer|Results are generated by AI and may vary between searches. Match scores are approximate.|Kết quả được tạo bởi AI và có thể thay đổi giữa các lần tìm kiếm. Điểm tương thích chỉ mang tính tham khảo.|Kết quả được tạo bởi AI và có thể thay đổi giữa các lần tìm kiếm. Điểm tương thích chỉ mang tính tham khảo.
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.showMore|Show {count} more matches|Xem thêm {count} kết quả|Xem thêm {count} kết quả
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.showLess|Show less|Thu gọn|Thu gọn
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.runAgain|Run Again|Tìm lại|Tìm lại
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.refreshing|Refreshing...|Đang tìm lại...|Đang tìm lại...
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.startNewSearch|Start a New Search|Tìm kiếm mới|Tìm kiếm mới
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.noMoreMatches|No more matches available. Try adjusting your request.|Không còn kết quả phù hợp. Hãy thử điều chỉnh yêu cầu.|Không còn kết quả phù hợp. Hãy thử điều chỉnh yêu cầu.
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.matchScore|{score}% match|{score}% phù hợp|{score}% phù hợp
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.roleAt|{role} at {company}|{role} tại {company}|{role} tại {company}
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.anonymous|Anonymous|Ẩn danh|Ẩn danh
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.addIntroMessage|Add a personal introduction message (optional)|Thêm lời giới thiệu cá nhân (tùy chọn)|Thêm lời giới thiệu cá nhân (tùy chọn)
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.introLabel|Personal introduction (optional, max 500 chars)|Lời giới thiệu (tùy chọn, tối đa 500 ký tự)|Lời giới thiệu (tùy chọn, tối đa 500 ký tự)
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.introPlaceholder|Write a personal message to introduce yourself...|Viết lời giới thiệu bản thân...|Viết lời giới thiệu bản thân...
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.matchIntroTemplate|Hi {targetName}, I'm {requesterName} from class {requesterClass}. I found your profile on ABG Alumni Connect. I'm currently exploring [xxx] and would love to connect to seek your advice on [yyy]. Looking forward to your reply.|Xin chào {targetName}, mình là {requesterName} từ lớp {requesterClass}. Mình tìm thấy hồ sơ của bạn trên ABG Alumni Connect. Mình đang tìm hiểu về [xxx] và muốn kết nối để xin lời khuyên về [yyy]. Mong nhận được phản hồi từ bạn.|Xin chào {targetName}, mình là {requesterName} từ lớp {requesterClass}. Mình tìm thấy hồ sơ của bạn trên ABG Alumni Connect. Mình đang tìm hiểu về [xxx] và muốn kết nối để xin lời khuyên về [yyy]. Mong nhận được phản hồi từ bạn.
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.matchIntroTemplateFallback|Hi {targetName}, I'm {requesterName}. I found your profile on ABG Alumni Connect. I'm currently exploring [xxx] and would love to connect to seek your advice on [yyy]. Looking forward to your reply.|Xin chào {targetName}, mình là {requesterName}. Mình tìm thấy hồ sơ của bạn trên ABG Alumni Connect. Mình đang tìm hiểu về [xxx] và muốn kết nối để xin lời khuyên về [yyy]. Mong nhận được phản hồi từ bạn.|Xin chào {targetName}, mình là {requesterName}. Mình tìm thấy hồ sơ của bạn trên ABG Alumni Connect. Mình đang tìm hiểu về [xxx] và muốn kết nối để xin lời khuyên về [yyy]. Mong nhận được phản hồi từ bạn.
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.modalNotice|Your contact info will only be shared if they accept.|Thông tin liên hệ của bạn chỉ được chia sẻ khi họ chấp nhận.|Thông tin liên hệ của bạn chỉ được chia sẻ khi họ chấp nhận.
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.cancel|Cancel|Hủy|Hủy
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.sendRequest|Send Request|Gửi yêu cầu|Gửi yêu cầu
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.sending|Sending...|Đang gửi...|Đang gửi...
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.aboutLabel|About:|Giới thiệu:|Giới thiệu:
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.interestsLabel|Interests:|Sở thích:|Sở thích:
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.valuesLabel|Values:|Giá trị:|Giá trị:
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.idealDayLabel|Ideal day:|Ngày lý tưởng:|Ngày lý tưởng:
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.lookingForLabel|Looking for:|Tìm kiếm:|Tìm kiếm:
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.creditRemaining|{remaining}/{total} requests remaining|Còn {remaining}/{total} lượt|Còn {remaining}/{total} lượt
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.creditFree|Free tier|Miễn phí|Miễn phí
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.creditPremium|Premium|Premium|Premium
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.upgradeNudge|Unlock unlimited searches — Go Pro!|Mở khoá tìm kiếm không giới hạn — Nâng cấp Pro!|Mở khoá tìm kiếm không giới hạn — Nâng cấp Pro!
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.placeholderWarning|Please replace the [xxx] and [yyy] placeholders with your actual details before sending.|Vui lòng thay thế [xxx] và [yyy] bằng nội dung cụ thể của bạn trước khi gửi.|Vui lòng thay thế [xxx] và [yyy] bằng nội dung cụ thể của bạn trước khi gửi.
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.messageLanguage|Message language|Ngôn ngữ tin nhắn|Ngôn ngữ tin nhắn
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.messageLangEn|English|English|English
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.messageLangVi|Tiếng Việt|Tiếng Việt|Tiếng Việt
